fips,district,year,enrollment,cs_score,locale,is_rural,enrollment_log10
4002720,Aline-Cleo,2019,130,-0.0866589928193028,43-Rural: Remote,1,2.113943352306837
4002720,Aline-Cleo,2018,143,-0.1746499496902848,43-Rural: Remote,1,2.155336037465062
4002720,Aline-Cleo,2017,152,-0.130764786449659,43-Rural: Remote,1,2.1818435879447726
4002720,Aline-Cleo,2016,154,-0.1131991540096329,43-Rural: Remote,1,2.187520720836463
4002720,Aline-Cleo,2015,155,-0.0782466835719136,43-Rural: Remote,1,2.1903316981702914
4002720,Aline-Cleo,2014,155,-0.2185926168207069,43-Rural: Remote,1,2.1903316981702914
4002760,Allen,2024,440,-0.318400312558515,43-Rural: Remote,1,2.6434526764861874
4002760,Allen,2023,449,-0.2599392923773954,43-Rural: Remote,1,2.6522463410033232
4002760,Allen,2022,473,-0.3847398349471091,43-Rural: Remote,1,2.6748611407378116
4002760,Allen,2019,531,-0.5006739356430182,43-Rural: Remote,1,2.725094521081469
4002760,Allen,2018,516,-0.3999262703535835,43-Rural: Remote,1,2.7126497016272113
4002760,Allen,2017,526,-0.3641705682895986,43-Rural: Remote,1,2.7209857441537393
4002760,Allen,2016,501,-0.4469011345013646,43-Rural: Remote,1,2.699837725867246
4002760,Allen,2015,507,-0.302163550158275,43-Rural: Remote,1,2.705007959333336
4002760,Allen,2014,474,-0.2497845006694755,43-Rural: Remote,1,2.6757783416740852
4002790,Allen-Bowden,2024,295,-0.6025485236687333,41-Rural: Fringe,1,2.469822015978163
4002790,Allen-Bowden,2023,277,-0.6150185782139067,41-Rural: Fringe,1,2.4424797690644486
4002790,Allen-Bowden,2022,275,-0.7052659346898644,41-Rural: Fringe,1,2.439332693830263
4002790,Allen-Bowden,2019,330,-0.434113894778049,41-Rural: Fringe,1,2.5185139398778875
4002790,Allen-Bowden,2018,333,-0.3961763555361563,41-Rural: Fringe,1,2.5224442335063197
4002790,Allen-Bowden,2017,351,-0.5041809325649634,41-Rural: Fringe,1,2.545307116465824
4002790,Allen-Bowden,2016,403,-0.4260768756156908,41-Rural: Fringe,1,2.6053050461411096
4002790,Allen-Bowden,2015,382,-0.1783066984804794,41-Rural: Fringe,1,2.582063362911709
4002790,Allen-Bowden,2014,384,-0.356002871961758,41-Rural: Fringe,1,2.584331224367531
4002850,Altus,2024,3589,-0.1630280321172327,33-Town: Remote,0,3.5549734583332397
4002850,Altus,2023,3527,-0.1147245278799105,33-Town: Remote,0,3.5474054596674898
4002850,Altus,2022,3478,-0.1327163643163919,33-Town: Remote,0,3.5413295776666938
4002850,Altus,2019,3345,0.0416596751132352,33-Town: Remote,0,3.524396122103842
4002850,Altus,2018,3399,-0.0453846607012765,33-Town: Remote,0,3.5313511645830595
4002850,Altus,2017,3475,-0.0152026673726864,33-Town: Remote,0,3.540954808926133
4002850,Altus,2016,3549,0.0451642142924637,33-Town: Remote,0,3.550105999347593
4002850,Altus,2015,3586,0.1154348951709343,33-Town: Remote,0,3.554610285226164
4002850,Altus,2014,3785,0.1596528514074624,33-Town: Remote,0,3.5780658838360915
4002880,Alva,2024,1033,-0.1148594916713317,33-Town: Remote,0,3.0141003215196207
4002880,Alva,2023,1039,-0.0210504617495639,33-Town: Remote,0,3.016615547557177
4002880,Alva,2022,1041,-0.0528248911987128,33-Town: Remote,0,3.017450729510536
4002880,Alva,2019,1044,-0.0866156810074516,33-Town: Remote,0,3.0187004986662433
4002880,Alva,2018,1049,0.046586031424079,33-Town: Remote,0,3.020775488193558
4002880,Alva,2017,1013,0.0387251192593341,33-Town: Remote,0,3.0056094453602804
4002880,Alva,2016,1019,0.0228277363931632,33-Town: Remote,0,3.0081741840064264
4002880,Alva,2015,1039,0.0942621081210731,33-Town: Remote,0,3.016615547557177
4002880,Alva,2014,1024,0.0471378543387631,33-Town: Remote,0,3.010299956639812
4002910,Amber-Pocasset,2024,404,0.2556020156163433,42-Rural: Distant,1,2.606381365110605
4002910,Amber-Pocasset,2023,415,0.1966157381936317,42-Rural: Distant,1,2.6180480967120925
4002910,Amber-Pocasset,2022,431,0.2059871295644238,42-Rural: Distant,1,2.6344772701607315
4002910,Amber-Pocasset,2019,510,0.2330134966813728,42-Rural: Distant,1,2.7075701760979363
4002910,Amber-Pocasset,2018,509,0.3428861336866251,42-Rural: Distant,1,2.7067177823367587
4002910,Amber-Pocasset,2017,483,0.30533063433350083,42-Rural: Distant,1,2.683947130751512
4002910,Amber-Pocasset,2016,477,0.3001603881364357,42-Rural: Distant,1,2.678518379040114
4002910,Amber-Pocasset,2015,477,0.3175110172413707,42-Rural: Distant,1,2.678518379040114
4002910,Amber-Pocasset,2014,510,0.2828282519500502,42-Rural: Distant,1,2.7075701760979363
4003000,Anadarko,2024,1362,-0.5732377871386729,32-Town: Distant,0,3.1341771075767664
4003000,Anadarko,2023,1427,-0.6513087527795096,32-Town: Distant,0,3.154423973114647
4003000,Anadarko,2022,1450,-0.6204455728820455,32-Town: Distant,0,3.161368002234975
4003000,Anadarko,2019,1617,-0.388254255900862,32-Town: Distant,0,3.208710019906401
4003000,Anadarko,2018,1684,-0.3628710361141835,32-Town: Distant,0,3.226342087163631
4003000,Anadarko,2017,1786,-0.3286304706317866,32-Town: Distant,0,3.2518814545525276
4003000,Anadarko,2016,1882,-0.214225007757727,32-Town: Distant,0,3.274619619091238
4003000,Anadarko,2015,1932,-0.2231654815203377,32-Town: Distant,0,3.2860071220794747
4003000,Anadarko,2014,1929,-0.2936416774838114,32-Town: Distant,0,3.2853322276438846
4003010,Anderson,2024,272,-0.0509365995797915,41-Rural: Fringe,1,2.4345689040341987
4003010,Anderson,2023,268,-0.1222296164157561,41-Rural: Fringe,1,2.428134794028789
4003010,Anderson,2022,234,-0.0813727792230139,41-Rural: Fringe,1,2.369215857410143
