fips_full,district_name,year,cs_score,cs_score_se,cs_score_se_adj
4000013,Timberlake,2014,-0.2400769243622576,0.0691771903312947,0.0699978494807705
4000013,Timberlake,2015,0.19627793401908,0.069940400357083,0.0717996223078823
4000013,Timberlake,2016,0.1766733567669552,0.0698101557910581,0.0706962436384397
4000013,Timberlake,2017,0.1061407985344282,0.0666641052457657,0.0683967361726213
4000013,Timberlake,2018,0.1376794000783551,0.0652401703314501,0.0661026680741285
4000013,Timberlake,2019,-0.0049490726033641,0.06376262835394,0.0654558571373944
4000013,Timberlake,2022,0.0093212242444394,0.068844096423026,0.0712746528775226
4000013,Timberlake,2023,0.0345597130049939,0.065627586721857,0.0669941985772256
4000013,Timberlake,2024,0.1635671580058695,0.0622040706337252,0.0652139951596659
4000014,Burns Flat-Dill City,2014,-0.1872153813293323,0.0391719307866344,0.040603638154152
4000014,Burns Flat-Dill City,2015,-0.0974850156028124,0.0384017212281557,0.0416919459216102
4000014,Burns Flat-Dill City,2016,-0.2731267678548207,0.0393679581468435,0.0409186649545832
4000014,Burns Flat-Dill City,2017,-0.3123047422699283,0.0401961127952643,0.0430085814076475
4000014,Burns Flat-Dill City,2018,-0.39038816525985,0.0424209735396753,0.0437358193897818
4000014,Burns Flat-Dill City,2019,-0.4975115696015528,0.04475096926042,0.0471322151902004
4000014,Burns Flat-Dill City,2022,-0.4444759665724609,0.0533719363529035,0.0564723836982895
4000014,Burns Flat-Dill City,2023,-0.3693827506167922,0.0548704871928843,0.0564979014553138
4000014,Burns Flat-Dill City,2024,-0.5304600634339833,0.0529367855675691,0.0564430866227764
4000015,Thomas-Fay-Custer Unified District,2014,0.2451694681852564,0.0518292853561073,0.0529196569369571
4000015,Thomas-Fay-Custer Unified District,2015,0.184438651669045,0.0489130576625584,0.051536524633955
4000015,Thomas-Fay-Custer Unified District,2016,0.2288259166360343,0.0501995796002865,0.0514246906170501
4000015,Thomas-Fay-Custer Unified District,2017,0.1501555547006349,0.0460896999898838,0.0485620328652553
4000015,Thomas-Fay-Custer Unified District,2018,0.184742872422575,0.0466139269399219,0.0478136077534645
4000015,Thomas-Fay-Custer Unified District,2019,0.162081454348799,0.0493340125324472,0.0515037984185629
4000015,Thomas-Fay-Custer Unified District,2022,0.0487284875715619,0.0482617101461372,0.051669712566824
4000015,Thomas-Fay-Custer Unified District,2023,0.147922927611167,0.0509341524028749,0.0526833027160329
4000015,Thomas-Fay-Custer Unified District,2024,0.1270942678947405,0.0514014568174449,0.0550057135599122
4000020,Frontier,2014,-0.0669414339993684,0.0506128381477235,0.0517288570835282
4000020,Frontier,2015,0.0237706122418595,0.050383657771325203,0.052934290699541
4000020,Frontier,2016,-0.1969266752334881,0.0489789282086693,0.0502338175085649
4000020,Frontier,2017,-0.1379537550154142,0.0495321413147254,0.0518405595462718
4000020,Frontier,2018,-0.0784394922642164,0.0507991890124186,0.0519022206264935
4000020,Frontier,2019,-0.1335529257137519,0.0517974100059754,0.0538680623590214
4000020,Frontier,2022,-0.1902718635917422,0.0540843409890069,0.0571461500953792
4000020,Frontier,2023,-0.1305911833450792,0.0559003499577721,0.0574986228484758
4000020,Frontier,2024,-0.1922709229172427,0.0542100886260167,0.0576389839442025
4000021,Oklahoma Union,2014,0.1708007812625461,0.0408573273421758,0.0422319365805801
4000021,Oklahoma Union,2015,0.15327878448879181,0.0398162595107969,0.0429983800029328
4000021,Oklahoma Union,2016,0.1071366916546426,0.041600619459418,0.0430710175456899
4000021,Oklahoma Union,2017,0.0333559357551715,0.0402049986908651,0.0430168863422389
4000021,Oklahoma Union,2018,0.2139249956459328,0.0408103460985056,0.0421754342043043
4000021,Oklahoma Union,2019,0.1183919781977448,0.0414132096324995,0.0439755658411993
4000021,Oklahoma Union,2022,-0.3492834001644883,0.0410124198476244,0.0449731599097313
4000021,Oklahoma Union,2023,-0.3252584530043053,0.0409691606208502,0.0431244087037364
4000021,Oklahoma Union,2024,-0.510159188137452,0.0430227992628988,0.0472702868374536
4000032,Hydro-Eakly,2014,0.32618323153122,0.0556844493324476,0.0567007333925969
4000032,Hydro-Eakly,2015,0.4083061853705909,0.0549831520457879,0.0573295139551672
4000032,Hydro-Eakly,2016,0.3651271474971773,0.0537642760072869,0.0549099115606786
4000032,Hydro-Eakly,2017,0.3219657383709918,0.0499307339863374,0.0522215356654993
4000032,Hydro-Eakly,2018,0.485549442572313,0.0532991073306513,0.0543514281678602
4000032,Hydro-Eakly,2019,0.3479522760364692,0.0526383089636797,0.0546771252860289
4000032,Hydro-Eakly,2022,0.3723861543594926,0.0555237429811287,0.0585102774317716
4000032,Hydro-Eakly,2023,0.4802791459783893,0.056231292250757,0.0578204179530028
4000032,Hydro-Eakly,2024,0.2814533798455365,0.0557503641913692,0.0590899472732017
4000033,Keys,2014,-0.1212588792984334,0.0357374127097768,0.0373011787613923
4000033,Keys,2015,-0.1545049442976521,0.0357318151716266,0.039246512926689
4000033,Keys,2016,-0.1902793916511001,0.0377969129749988,0.0394094867189798
4000033,Keys,2017,-0.1973209921482567,0.0380183658216032,0.0409805652790915
4000033,Keys,2018,0.0125355999430283,0.0396377355347196,0.0410418442563459
4000033,Keys,2019,0.1640594184955913,0.0406248150300475,0.0432339225055265
4000033,Keys,2022,0.2463961966259255,0.039151975042151,0.0432832956255604
4000033,Keys,2023,0.0905155766912125,0.0408230355689258,0.0429856108149187
4000033,Keys,2024,-0.1232277989024168,0.0400344169538472,0.0445676261664669
4000752,Santa Fe South Es (Charter),2014,-0.2159345119034026,0.0937388439614829,0.0943460976248391
4000752,Santa Fe South Es (Charter),2015,-0.2381077843184667,0.0917401415327788,0.0931653354520863
4000752,Santa Fe South Es (Charter),2016,-0.6273328650965658,0.077143955972366507,0.077946718699893
4000753,Dove Schools Of Tulsa (Charter),2014,0.1257986276073782,0.0328413855015567,0.0345365295225547
4000753,Dove Schools Of Tulsa (Charter),2015,-1.652435804767e-4,0.0309697269484192,0.034966414581783
