fips,district,year,enrollment,cs_score
4002760,Allen,2021,464,NA
4002760,Allen,2020,500,NA
4002760,Allen,2019,531,-0.5006739356430182
4002760,Allen,2018,516,-0.3999262703535835
4002760,Allen,2017,526,-0.3641705682895986
4002760,Allen,2016,501,-0.4469011345013646
4002760,Allen,2015,507,-0.302163550158275
4002790,Allen-Bowden,2025,294,NA
4002790,Allen-Bowden,2024,295,-0.6025485236687333
4002790,Allen-Bowden,2023,277,-0.6150185782139067
4002790,Allen-Bowden,2022,275,-0.7052659346898644
4002790,Allen-Bowden,2021,259,NA
4002790,Allen-Bowden,2020,325,NA
4002790,Allen-Bowden,2019,330,-0.434113894778049
4002790,Allen-Bowden,2018,333,-0.3961763555361563
4002790,Allen-Bowden,2017,351,-0.5041809325649634
4002790,Allen-Bowden,2016,403,-0.4260768756156908
4002790,Allen-Bowden,2015,382,-0.1783066984804794
4002850,Altus,2025,3593,NA
4002850,Altus,2024,3589,-0.1630280321172327
4002850,Altus,2023,3527,-0.1147245278799105
4002850,Altus,2022,3478,-0.1327163643163919
4002850,Altus,2021,3294,NA
4002850,Altus,2020,3366,NA
4002850,Altus,2019,3345,0.0416596751132352
4002850,Altus,2018,3399,-0.0453846607012765
4002850,Altus,2017,3475,-0.0152026673726864
4002850,Altus,2016,3549,0.0451642142924637
4002850,Altus,2015,3586,0.1154348951709343
4002880,Alva,2025,1054,NA
4002880,Alva,2024,1033,-0.1148594916713317
4002880,Alva,2023,1039,-0.0210504617495639
4002880,Alva,2022,1041,-0.0528248911987128
4002880,Alva,2021,1033,NA
4002880,Alva,2020,1031,NA
4002880,Alva,2019,1044,-0.0866156810074516
4002880,Alva,2018,1049,0.046586031424079
4002880,Alva,2017,1013,0.0387251192593341
4002880,Alva,2016,1019,0.0228277363931632
4002880,Alva,2015,1039,0.0942621081210731
4002910,Amber-Pocasset,2025,412,NA
4002910,Amber-Pocasset,2024,404,0.2556020156163433
4002910,Amber-Pocasset,2023,415,0.1966157381936317
4002910,Amber-Pocasset,2022,431,0.2059871295644238
4002910,Amber-Pocasset,2021,446,NA
4002910,Amber-Pocasset,2020,496,NA
4002910,Amber-Pocasset,2019,510,0.2330134966813728
4002910,Amber-Pocasset,2018,509,0.3428861336866251
4002910,Amber-Pocasset,2017,483,0.30533063433350083
4002910,Amber-Pocasset,2016,477,0.3001603881364357
4002910,Amber-Pocasset,2015,477,0.3175110172413707
4003000,Anadarko,2025,1309,NA
4003000,Anadarko,2024,1362,-0.5732377871386729
4003000,Anadarko,2023,1427,-0.6513087527795096
4003000,Anadarko,2022,1450,-0.6204455728820455
4003000,Anadarko,2021,1495,NA
4003000,Anadarko,2020,1600,NA
4003000,Anadarko,2019,1617,-0.388254255900862
4003000,Anadarko,2018,1684,-0.3628710361141835
4003000,Anadarko,2017,1786,-0.3286304706317866
4003000,Anadarko,2016,1882,-0.214225007757727
4003000,Anadarko,2015,1932,-0.2231654815203377
4003010,Anderson,2025,280,NA
4003010,Anderson,2024,272,-0.0509365995797915
4003010,Anderson,2023,268,-0.1222296164157561
4003010,Anderson,2022,234,-0.0813727792230139
4003010,Anderson,2021,203,NA
4003010,Anderson,2020,353,NA
4003010,Anderson,2019,324,0.0125864954549111
4003010,Anderson,2018,288,0.1339417908432234
4003010,Anderson,2017,285,-0.1975358387618841
4003010,Anderson,2016,282,-0.1362352802601303
4003010,Anderson,2015,271,-0.0858668740623857
4003060,Antlers,2025,966,NA
4003060,Antlers,2024,959,-0.132384738768389
4003060,Antlers,2023,965,-0.0949136689463414
4003060,Antlers,2022,938,3.559437551454e-4
4003060,Antlers,2021,906,NA
4003060,Antlers,2020,965,NA
4003060,Antlers,2019,1021,0.1634287278369174
4003060,Antlers,2018,1011,0.1342830193657626
4003060,Antlers,2017,1025,-0.0888183366981649
4003060,Antlers,2016,1024,-0.0518348221526165
4003060,Antlers,2015,1025,0.0751649747191669
4003120,Arapaho-Butler,2025,468,NA
4003120,Arapaho-Butler,2024,485,0.3865360903456206
4003120,Arapaho-Butler,2023,474,0.2832866867468309
4003120,Arapaho-Butler,2022,484,0.262289296818747
4003120,Arapaho-Butler,2021,474,NA
4003120,Arapaho-Butler,2020,480,NA
4003120,Arapaho-Butler,2019,464,0.2369713583919329
4003120,Arapaho-Butler,2018,472,0.29348858707527
4003120,Arapaho-Butler,2017,456,0.2521794473626857
4003120,Arapaho-Butler,2016,434,0.3089312575137476
4003120,Arapaho-Butler,2015,400,0.2922893504260893
4003180,Ardmore,2025,2546,NA
4003180,Ardmore,2024,2617,-0.6162576091653421
4003180,Ardmore,2023,2591,-0.5770541313529192
4003180,Ardmore,2022,2639,-0.5610415294294344
4003180,Ardmore,2021,2693,NA
4003180,Ardmore,2020,2858,NA
4003180,Ardmore,2019,2840,-0.3716648374205777
4003180,Ardmore,2018,2847,-0.3740855143884271
4003180,Ardmore,2017,2965,-0.4679092712779526
4003180,Ardmore,2016,3054,-0.394079653328443
4003180,Ardmore,2015,3146,-0.302336667222791
4003210,Arkoma,2025,346,NA
4003210,Arkoma,2024,373,-0.5786314955243679
4003210,Arkoma,2023,373,-0.6403605735679903
4003210,Arkoma,2022,380,-0.5650553828545345
4003210,Arkoma,2021,401,NA
4003210,Arkoma,2020,383,NA
4003210,Arkoma,2019,406,-0.0338850967166474
4003210,Arkoma,2018,403,-0.051521873898462
4003210,Arkoma,2017,422,-0.0963666228770917
4003210,Arkoma,2016,398,-0.1816491985093055
4003210,Arkoma,2015,423,0.0130383154955248
4003240,Arnett,2025,187,NA
4003240,Arnett,2024,156,0.4813153712808941
4003240,Arnett,2023,162,0.5777290869778969
4003240,Arnett,2022,154,0.2078828434303834
4003240,Arnett,2021,167,NA
4003240,Arnett,2020,171,NA
4003240,Arnett,2019,173,0.1123939086436735
4003240,Arnett,2018,177,0.3014206849920936
4003240,Arnett,2017,200,0.0482159743065829
4003240,Arnett,2016,212,-0.0336087688568177
4003240,Arnett,2015,209,-0.0064049174782998
4003300,Asher,2025,272,NA
4003300,Asher,2024,279,-0.2285149728579279
4003300,Asher,2023,278,-0.1435408247575248
4003300,Asher,2022,259,-0.2429683285642675
4003300,Asher,2021,249,NA
4003300,Asher,2020,281,NA
4003300,Asher,2019,285,-0.1054543934867221
4003300,Asher,2018,307,-0.0617095082129808
4003300,Asher,2017,284,-0.0704980850374191
4003300,Asher,2016,257,2.93787571412e-5
4003300,Asher,2015,274,-0.080071262309578
4000783,Astec Charter School,2025,1427,NA
4000783,Astec Charter School,2024,1254,-0.7944664793152557
4000783,Astec Charter School,2023,1166,-0.8258172962716404
4000783,Astec Charter School,2022,1255,-0.8777781017560514
4000783,Astec Charter School,2021,1294,NA
4000783,Astec Charter School,2020,1008,NA
4000783,Astec Charter School,2019,963,-0.2028833577635289
4000783,Astec Charter School,2018,923,-0.2669250542297866
4000783,Astec Charter School,2017,948,-0.4089112304378381
4000783,Astec Charter School,2016,928,-0.1608792284279994
4000783,Astec Charter School,2015,851,-0.2646585072250942
4003360,Atoka,2025,823,NA
4003360,Atoka,2024,862,-0.103724195191548
4003360,Atoka,2023,868,-0.3009467222035626
4003360,Atoka,2022,870,-0.3774332868130442
4003360,Atoka,2021,870,NA
4003360,Atoka,2020,943,NA
4003360,Atoka,2019,890,-0.0174189209369788
4003360,Atoka,2018,879,-0.0309575639338759
4003360,Atoka,2017,945,-0.0232395044599074
4003360,Atoka,2016,996,0.1067048770986759
4003360,Atoka,2015,941,0.0688026530325309
4000061,Autry Tech. Ctr.,2025,NA,NA
4000061,Autry Tech. Ctr.,2024,NA,NA
4000061,Autry Tech. Ctr.,2023,NA,NA
4000061,Autry Tech. Ctr.,2022,NA,NA
4000061,Autry Tech. Ctr.,2021,NA,NA
4000061,Autry Tech. Ctr.,2020,NA,NA
4000061,Autry Tech. Ctr.,2019,NA,NA
4000061,Autry Tech. Ctr.,2018,NA,NA
4000061,Autry Tech. Ctr.,2017,NA,NA
4000061,Autry Tech. Ctr.,2016,NA,NA
4000061,Autry Tech. Ctr.,2015,NA,NA
4003450,Avant,2025,47,NA
4003450,Avant,2024,69,NA
4003450,Avant,2023,73,NA
4003450,Avant,2022,81,-0.9976097372180536
4003450,Avant,2021,74,NA
4003450,Avant,2020,84,NA
4003450,Avant,2019,93,-0.5412599510444028
4003450,Avant,2018,90,-0.57727974583791275
4003450,Avant,2017,65,-0.4811963544626029
4003450,Avant,2016,78,-0.5648199943397255
4003450,Avant,2015,80,-0.7010833422731066
4003510,Balko,2025,148,NA
4003510,Balko,2024,145,0.0794767833616659
4003510,Balko,2023,137,0.2029862254616498
4003510,Balko,2022,151,0.441477450632586
4003510,Balko,2021,139,NA
4003510,Balko,2020,149,NA
4003510,Balko,2019,150,0.2947230426536191
4003510,Balko,2018,163,0.0354021822647024
4003510,Balko,2017,160,0.1433748598227668
4003510,Balko,2016,162,0.0605099140058746
4003510,Balko,2015,151,0.0571011293868043
4003540,Banner,2025,324,NA
4003540,Banner,2024,319,0.0159306129557033
4003540,Banner,2023,290,0.129392542996536
4003540,Banner,2022,305,0.0905537553774961
4003540,Banner,2021,260,NA
4003540,Banner,2020,298,NA
4003540,Banner,2019,259,0.3513885422707583
4003540,Banner,2018,228,0.3803689054690932
4003540,Banner,2017,234,0.3924762433127454
4003540,Banner,2016,204,0.3188647424617678
4003540,Banner,2015,209,0.1120541672000932
4003570,Barnsdall,2025,452,NA
4003570,Barnsdall,2024,447,-0.2538838550173262
4003570,Barnsdall,2023,435,-0.3028392675386372
4003570,Barnsdall,2022,397,-0.4394354268602845
4003570,Barnsdall,2021,377,NA
4003570,Barnsdall,2020,392,NA
4003570,Barnsdall,2019,423,-0.2303031028396235
4003570,Barnsdall,2018,418,-0.1555339175188355
4003570,Barnsdall,2017,418,-0.0090474677092628
4003570,Barnsdall,2016,433,0.0064420477366616
4003570,Barnsdall,2015,435,-0.0134249127712962
4003630,Bartlesville,2025,6181,NA
4003630,Bartlesville,2024,6173,-0.1785045077902882
4003630,Bartlesville,2023,6182,-0.1707004742674353
4003630,Bartlesville,2022,6078,-0.1615248066428442
4003630,Bartlesville,2021,5828,NA
4003630,Bartlesville,2020,5963,NA
4003630,Bartlesville,2019,5971,0.065269079107236
4003630,Bartlesville,2018,5986,0.1369222804632007
